,id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
312,a093139b-654f-4d4d-966d-4ed2a9190ad2,CPACT11,RC,Waikato,2017-05-31,P1M,,,,,,,339,NZD,Weekly mean rent,0,,
313,81e9ea73-dfc1-43da-a114-18bb86ada2ea,CPACT11,RC,Waikato,2017-07-31,P1M,,,,,,,339,NZD,Weekly mean rent,0,,
314,edc10d04-593f-4491-96a1-530e6d4d9f65,CPACT11,RC,Waikato,2017-06-30,P1M,,,,,,,342,NZD,Weekly mean rent,0,,
315,a5431325-ae25-41c3-a681-a51f6eed4316,CPACT11,RC,Waikato,2017-09-30,P1M,,,,,,,342,NZD,Weekly mean rent,0,,
316,b09cceae-a13a-4e06-98fb-06b4cb708bcf,CPACT11,RC,Waikato,2017-08-31,P1M,,,,,,,341,NZD,Weekly mean rent,0,,
317,b0c59812-6662-400c-8a8b-896a8aa5d7b2,CPACT11,RC,Waikato,2017-10-31,P1M,,,,,,,343,NZD,Weekly mean rent,0,,
318,1d9967e1-af61-4c8f-8335-77dc7535ea71,CPACT11,RC,Waikato,2017-11-30,P1M,,,,,,,349,NZD,Weekly mean rent,0,,
319,561f998a-aa21-4de5-a00c-399854111eec,CPACT11,RC,Waikato,2018-03-31,P1M,,,,,,,348,NZD,Weekly mean rent,0,,
320,b2a3f8d6-cbef-4261-ba4e-a271dd12e9b5,CPACT11,RC,Waikato,2017-12-31,P1M,,,,,,,353,NZD,Weekly mean rent,0,,
321,209403d8-c542-473b-a6de-34cef36efe3f,CPACT11,RC,Waikato,2018-01-31,P1M,,,,,,,362,NZD,Weekly mean rent,0,,
322,a3a90dc1-35b6-431f-9916-32ca761ceb37,CPACT11,RC,Waikato,2018-04-30,P1M,,,,,,,356,NZD,Weekly mean rent,0,,
323,2a77f6b2-8f55-4a5a-8bb0-67316810da79,CPACT11,RC,Waikato,2018-06-30,P1M,,,,,,,356,NZD,Weekly mean rent,0,,
324,fadf5d80-93f8-40e1-866b-07087cfdac59,CPACT11,RC,Waikato,2018-02-28,P1M,,,,,,,363,NZD,Weekly mean rent,0,,
325,3b9419a5-76fd-499f-9b0d-8d72c75e0317,CPACT11,RC,Waikato,2018-08-31,P1M,,,,,,,367,NZD,Weekly mean rent,0,,
326,defe7e77-94ba-4c31-a6f1-2ab03a232da2,CPACT11,RC,Waikato,2018-05-31,P1M,,,,,,,357,NZD,Weekly mean rent,0,,
327,73a7de47-5f19-4c83-a717-d113dcde1381,CPACT11,RC,Waikato,2018-07-31,P1M,,,,,,,356,NZD,Weekly mean rent,0,,
328,e38815c5-15f0-458a-8768-76c8b73db583,CPACT11,RC,Waikato,2018-09-30,P1M,,,,,,,358,NZD,Weekly mean rent,0,,
329,027bd318-9aff-4def-a6fb-37dffba1338b,CPACT11,RC,Waikato,2018-10-31,P1M,,,,,,,370,NZD,Weekly mean rent,0,,
330,6137a0f7-faca-406f-bdf1-bea93c0df90f,CPACT11,RC,Waikato,2018-12-31,P1M,,,,,,,377,NZD,Weekly mean rent,0,,
331,5c36ed6a-7f17-4400-8654-e9a4667ce11e,CPACT11,RC,Waikato,2018-11-30,P1M,,,,,,,368,NZD,Weekly mean rent,0,,
332,97e506ae-c4f6-409c-a459-31426f260f4b,CPACT11,RC,Waikato,2019-03-31,P1M,,,,,,,379,NZD,Weekly mean rent,0,,
333,b814b3b0-e93c-4237-ae39-9f6a729e41bc,CPACT11,RC,Waikato,2019-01-31,P1M,,,,,,,381,NZD,Weekly mean rent,0,,
334,b95847e8-58d6-478c-b2d9-d0426ad59c9d,CPACT11,RC,Waikato,2019-02-28,P1M,,,,,,,380,NZD,Weekly mean rent,0,,
335,8638b1bf-fed9-4f53-9e60-28f39801ea06,CPACT11,RC,Waikato,2019-04-30,P1M,,,,,,,390,NZD,Weekly mean rent,0,,
336,f27175be-3bda-4622-9c8f-bfa38a674211,CPACT11,RC,Waikato,2019-05-31,P1M,,,,,,,382,NZD,Weekly mean rent,0,,
337,56f69ca0-f1ad-4acc-a1ed-e5466aea2cbd,CPACT11,RC,Waikato,2019-07-31,P1M,,,,,,,378,NZD,Weekly mean rent,0,,
