,id,ResourceID,GeoUnit,Geo,Period,Duration,Label1,Label2,Label3,Label4,Label5,Label6,Value,Unit,Measure,Multiplier,NullReason,Status
39,8fbff163-1b26-4425-9d36-2c80e89cad77,CPACT10,RC,National,2018-06-30,P1M,,,,,,,13164000,NZD,Amount of rental bonds,0,,
40,d9d44c8e-10fa-497c-97e2-4c4ec14e5119,CPACT10,RC,National,2018-05-31,P1M,,,,,,,12420000,NZD,Amount of rental bonds,0,,
41,6518bbd4-01c8-458f-98d9-3aee53e99d5a,CPACT10,RC,National,2018-08-31,P1M,,,,,,,13029000,NZD,Amount of rental bonds,0,,
42,65fbb2fe-6736-43ac-9d3a-49b6e47ad627,CPACT10,RC,National,2018-07-31,P1M,,,,,,,12936000,NZD,Amount of rental bonds,0,,
43,9738b0fe-72e3-4063-b3dd-f8c60da264ee,CPACT10,RC,National,2018-09-30,P1M,,,,,,,12036000,NZD,Amount of rental bonds,0,,
44,9c739fa6-86f6-4665-a5e6-1f48b751a82b,CPACT10,RC,National,2018-10-31,P1M,,,,,,,12039000,NZD,Amount of rental bonds,0,,
45,64774b80-230f-48bf-96c2-b83eadf776bf,CPACT10,RC,National,2018-11-30,P1M,,,,,,,12567000,NZD,Amount of rental bonds,0,,
46,277484ae-8d42-40a7-a1d4-f3af1bf3f77c,CPACT10,RC,National,2019-03-31,P1M,,,,,,,14040000,NZD,Amount of rental bonds,0,,
47,91addecf-67b8-4845-a877-6272dac61a1f,CPACT10,RC,National,2018-12-31,P1M,,,,,,,11832000,NZD,Amount of rental bonds,0,,
48,7ddadce6-02d7-49d3-9d37-128de7f1547a,CPACT10,RC,National,2019-06-30,P1M,,,,,,,12303000,NZD,Amount of rental bonds,0,,
49,d9d39880-dde1-4fc2-8e96-ff600112c708,CPACT10,RC,National,2019-01-31,P1M,,,,,,,15498000,NZD,Amount of rental bonds,0,,
50,c323e1ca-79ae-4b4c-ab35-4440b5dd615f,CPACT10,RC,National,2019-02-28,P1M,,,,,,,15753000,NZD,Amount of rental bonds,0,,
51,58ef9c3f-4af4-49e3-b433-0fb18b3ddeab,CPACT10,RC,National,2019-04-30,P1M,,,,,,,12045000,NZD,Amount of rental bonds,0,,
52,21135b21-ef3c-45b8-96b8-67706bb07ea4,CPACT10,RC,National,2019-05-31,P1M,,,,,,,12699000,NZD,Amount of rental bonds,0,,
53,409e1e0c-cf0d-434e-b2c3-7b04c0779e63,CPACT10,RC,National,2019-10-31,P1M,,,,,,,11433000,NZD,Amount of rental bonds,0,,
54,c59eb493-8417-46d2-8966-f3d63fda9bc4,CPACT10,RC,National,2019-07-31,P1M,,,,,,,13086000,NZD,Amount of rental bonds,0,,
