Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,6,6
2019-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,3,3
2019-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,4,4
2019-02-01,Acts Intended to Cause Injury,Auckland City,296,245
2019-02-01,Acts Intended to Cause Injury,Bay Of Plenty,501,414
2019-02-01,Acts Intended to Cause Injury,Canterbury,413,301
2019-02-01,Acts Intended to Cause Injury,Central,460,391
2019-02-01,Acts Intended to Cause Injury,Counties/Manukau,516,459
2019-02-01,Acts Intended to Cause Injury,Eastern,344,266
2019-02-01,Acts Intended to Cause Injury,Northland,179,158
2019-02-01,Acts Intended to Cause Injury,Southern,262,200
2019-02-01,Acts Intended to Cause Injury,Tasman,156,139
2019-02-01,Acts Intended to Cause Injury,Waikato,415,345
2019-02-01,Acts Intended to Cause Injury,Waitemata,257,222
2019-02-01,Acts Intended to Cause Injury,Wellington,488,406
2019-02-01,"Robbery, Extortion and Related Offences",Auckland City,45,41
2019-02-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,17,16
2019-02-01,"Robbery, Extortion and Related Offences",Canterbury,26,18
2019-02-01,"Robbery, Extortion and Related Offences",Central,12,12
2019-02-01,"Robbery, Extortion and Related Offences",Counties/Manukau,46,44
2019-02-01,"Robbery, Extortion and Related Offences",Eastern,18,16
2019-02-01,"Robbery, Extortion and Related Offences",Northland,6,6
2019-02-01,"Robbery, Extortion and Related Offences",Southern,1,1
2019-02-01,"Robbery, Extortion and Related Offences",Tasman,8,8
2019-02-01,"Robbery, Extortion and Related Offences",Waikato,26,25
2019-02-01,"Robbery, Extortion and Related Offences",Waitemata,21,19
2019-02-01,"Robbery, Extortion and Related Offences",Wellington,30,29
2019-02-01,Sexual Assault and Related Offences,Auckland City,42,41
2019-02-01,Sexual Assault and Related Offences,Bay Of Plenty,43,40
2019-02-01,Sexual Assault and Related Offences,Canterbury,72,62
2019-02-01,Sexual Assault and Related Offences,Central,51,45
2019-02-01,Sexual Assault and Related Offences,Counties/Manukau,62,60
2019-02-01,Sexual Assault and Related Offences,Eastern,26,25
2019-02-01,Sexual Assault and Related Offences,Northland,20,17
2019-02-01,Sexual Assault and Related Offences,Southern,64,55
2019-02-01,Sexual Assault and Related Offences,Tasman,26,25
2019-02-01,Sexual Assault and Related Offences,Waikato,45,44
2019-02-01,Sexual Assault and Related Offences,Waitemata,40,37
2019-02-01,Sexual Assault and Related Offences,Wellington,58,51
2019-02-01,Theft and Related Offences,Auckland City,1500,700
2019-02-01,Theft and Related Offences,Bay Of Plenty,1104,622
2019-02-01,Theft and Related Offences,Canterbury,1753,672
2019-02-01,Theft and Related Offences,Central,800,486
2019-02-01,Theft and Related Offences,Counties/Manukau,1220,722
2019-02-01,Theft and Related Offences,Eastern,534,301
