Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-10-01,Acts Intended to Cause Injury,Waitemata,370,321
2019-10-01,Acts Intended to Cause Injury,Wellington,565,491
2019-10-01,"Robbery, Extortion and Related Offences",Auckland City,33,30
2019-10-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,27,22
2019-10-01,"Robbery, Extortion and Related Offences",Canterbury,46,36
2019-10-01,"Robbery, Extortion and Related Offences",Central,23,22
2019-10-01,"Robbery, Extortion and Related Offences",Counties/Manukau,54,52
2019-10-01,"Robbery, Extortion and Related Offences",Eastern,10,10
2019-10-01,"Robbery, Extortion and Related Offences",Northland,10,9
2019-10-01,"Robbery, Extortion and Related Offences",Southern,6,6
2019-10-01,"Robbery, Extortion and Related Offences",Tasman,14,14
2019-10-01,"Robbery, Extortion and Related Offences",Waikato,49,41
2019-10-01,"Robbery, Extortion and Related Offences",Waitemata,28,28
2019-10-01,"Robbery, Extortion and Related Offences",Wellington,33,30
2019-10-01,Sexual Assault and Related Offences,Auckland City,46,44
2019-10-01,Sexual Assault and Related Offences,Bay Of Plenty,54,51
2019-10-01,Sexual Assault and Related Offences,Canterbury,82,66
2019-10-01,Sexual Assault and Related Offences,Central,50,40
2019-10-01,Sexual Assault and Related Offences,Counties/Manukau,58,54
2019-10-01,Sexual Assault and Related Offences,Eastern,29,25
2019-10-01,Sexual Assault and Related Offences,Northland,26,23
2019-10-01,Sexual Assault and Related Offences,Southern,36,33
2019-10-01,Sexual Assault and Related Offences,Tasman,22,22
2019-10-01,Sexual Assault and Related Offences,Waikato,36,36
2019-10-01,Sexual Assault and Related Offences,Waitemata,41,39
2019-10-01,Sexual Assault and Related Offences,Wellington,62,61
2019-10-01,Theft and Related Offences,Auckland City,1770,728
2019-10-01,Theft and Related Offences,Bay Of Plenty,1262,708
2019-10-01,Theft and Related Offences,Canterbury,1613,661
2019-10-01,Theft and Related Offences,Central,1171,619
2019-10-01,Theft and Related Offences,Counties/Manukau,1530,872
2019-10-01,Theft and Related Offences,Eastern,773,371
2019-10-01,Theft and Related Offences,Northland,460,281
2019-10-01,Theft and Related Offences,Southern,422,291
2019-10-01,Theft and Related Offences,Tasman,318,213
2019-10-01,Theft and Related Offences,Waikato,1316,644
2019-10-01,Theft and Related Offences,Waitemata,1221,623
2019-10-01,Theft and Related Offences,Wellington,1492,752
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,649,85
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,570,111
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,845,87
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,552,86
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,745,97
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,386,61
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,305,53
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,231,61
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,237,57
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,678,91
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,548,71
2019-10-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,496,94
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,6,5
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,9,9
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,7,7
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,8,8
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,5,5
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,5,5
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,1,1
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,1,1
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Tasman,5,5
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,1,1
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,5,5
2019-11-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,3,3
2019-11-01,Acts Intended to Cause Injury,Auckland City,292,260
2019-11-01,Acts Intended to Cause Injury,Bay Of Plenty,648,513
2019-11-01,Acts Intended to Cause Injury,Canterbury,488,355
2019-11-01,Acts Intended to Cause Injury,Central,533,462
2019-11-01,Acts Intended to Cause Injury,Counties/Manukau,818,698
2019-11-01,Acts Intended to Cause Injury,Eastern,409,324
2019-11-01,Acts Intended to Cause Injury,Northland,199,180
2019-11-01,Acts Intended to Cause Injury,Southern,259,215
2019-11-01,Acts Intended to Cause Injury,Tasman,150,134
2019-11-01,Acts Intended to Cause Injury,Waikato,542,466
2019-11-01,Acts Intended to Cause Injury,Waitemata,400,350
2019-11-01,Acts Intended to Cause Injury,Wellington,577,508
2019-11-01,"Robbery, Extortion and Related Offences",Auckland City,41,38
2019-11-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,31,30
2019-11-01,"Robbery, Extortion and Related Offences",Canterbury,33,25
2019-11-01,"Robbery, Extortion and Related Offences",Central,26,25
2019-11-01,"Robbery, Extortion and Related Offences",Counties/Manukau,65,61
2019-11-01,"Robbery, Extortion and Related Offences",Eastern,26,21
2019-11-01,"Robbery, Extortion and Related Offences",Northland,11,10
2019-11-01,"Robbery, Extortion and Related Offences",Southern,9,9
2019-11-01,"Robbery, Extortion and Related Offences",Tasman,8,8
2019-11-01,"Robbery, Extortion and Related Offences",Waikato,46,37
2019-11-01,"Robbery, Extortion and Related Offences",Waitemata,30,27
2019-11-01,"Robbery, Extortion and Related Offences",Wellington,18,18
2019-11-01,Sexual Assault and Related Offences,Auckland City,43,43
2019-11-01,Sexual Assault and Related Offences,Bay Of Plenty,69,63
2019-11-01,Sexual Assault and Related Offences,Canterbury,97,82
2019-11-01,Sexual Assault and Related Offences,Central,60,55
2019-11-01,Sexual Assault and Related Offences,Counties/Manukau,76,71
2019-11-01,Sexual Assault and Related Offences,Eastern,48,42
2019-11-01,Sexual Assault and Related Offences,Northland,19,18
2019-11-01,Sexual Assault and Related Offences,Southern,22,21
2019-11-01,Sexual Assault and Related Offences,Tasman,19,19
2019-11-01,Sexual Assault and Related Offences,Waikato,49,47
2019-11-01,Sexual Assault and Related Offences,Waitemata,47,43
2019-11-01,Sexual Assault and Related Offences,Wellington,59,54
2019-11-01,Theft and Related Offences,Auckland City,1793,769
2019-11-01,Theft and Related Offences,Bay Of Plenty,1387,715
2019-11-01,Theft and Related Offences,Canterbury,1875,721
2019-11-01,Theft and Related Offences,Central,992,531
2019-11-01,Theft and Related Offences,Counties/Manukau,1719,914
2019-11-01,Theft and Related Offences,Eastern,846,411
2019-11-01,Theft and Related Offences,Northland,482,288
2019-11-01,Theft and Related Offences,Southern,441,295
2019-11-01,Theft and Related Offences,Tasman,370,208
2019-11-01,Theft and Related Offences,Waikato,1355,636
2019-11-01,Theft and Related Offences,Waitemata,1404,658
2019-11-01,Theft and Related Offences,Wellington,1381,678
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,642,75
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,543,106
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,795,95
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,552,94
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,787,109
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,426,68
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,246,52
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,223,61
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,210,67
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,582,95
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,486,67
2019-11-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,490,90
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,1,1
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,1,1
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,4,4
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,4,4
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,9,9
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,4,4
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,8,7
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,2,2
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Tasman,1,1
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,9,9
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,2,2
2019-12-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,1,1
2019-12-01,Acts Intended to Cause Injury,Auckland City,360,320
2019-12-01,Acts Intended to Cause Injury,Bay Of Plenty,623,479
2019-12-01,Acts Intended to Cause Injury,Canterbury,442,343
2019-12-01,Acts Intended to Cause Injury,Central,594,491
2019-12-01,Acts Intended to Cause Injury,Counties/Manukau,916,783
2019-12-01,Acts Intended to Cause Injury,Eastern,455,349
2019-12-01,Acts Intended to Cause Injury,Northland,213,182
2019-12-01,Acts Intended to Cause Injury,Southern,228,183
2019-12-01,Acts Intended to Cause Injury,Tasman,175,156
2019-12-01,Acts Intended to Cause Injury,Waikato,574,455
2019-12-01,Acts Intended to Cause Injury,Waitemata,490,410
2019-12-01,Acts Intended to Cause Injury,Wellington,607,547
2019-12-01,"Robbery, Extortion and Related Offences",Auckland City,47,41
2019-12-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,16,15
2019-12-01,"Robbery, Extortion and Related Offences",Canterbury,21,18
2019-12-01,"Robbery, Extortion and Related Offences",Central,26,23
2019-12-01,"Robbery, Extortion and Related Offences",Counties/Manukau,61,57
2019-12-01,"Robbery, Extortion and Related Offences",Eastern,10,8
2019-12-01,"Robbery, Extortion and Related Offences",Northland,8,8
2019-12-01,"Robbery, Extortion and Related Offences",Southern,8,7
2019-12-01,"Robbery, Extortion and Related Offences",Tasman,6,5
2019-12-01,"Robbery, Extortion and Related Offences",Waikato,27,23
2019-12-01,"Robbery, Extortion and Related Offences",Waitemata,61,54
2019-12-01,"Robbery, Extortion and Related Offences",Wellington,20,18
2019-12-01,Sexual Assault and Related Offences,Auckland City,42,42
2019-12-01,Sexual Assault and Related Offences,Bay Of Plenty,60,52
2019-12-01,Sexual Assault and Related Offences,Canterbury,62,52
2019-12-01,Sexual Assault and Related Offences,Central,51,43
2019-12-01,Sexual Assault and Related Offences,Counties/Manukau,57,57
2019-12-01,Sexual Assault and Related Offences,Eastern,38,31
2019-12-01,Sexual Assault and Related Offences,Northland,19,16
2019-12-01,Sexual Assault and Related Offences,Southern,33,31
2019-12-01,Sexual Assault and Related Offences,Tasman,21,18
2019-12-01,Sexual Assault and Related Offences,Waikato,40,39
2019-12-01,Sexual Assault and Related Offences,Waitemata,38,32
2019-12-01,Sexual Assault and Related Offences,Wellington,48,44
2019-12-01,Theft and Related Offences,Auckland City,1811,758
2019-12-01,Theft and Related Offences,Bay Of Plenty,1493,780
2019-12-01,Theft and Related Offences,Canterbury,1963,719
2019-12-01,Theft and Related Offences,Central,1109,559
2019-12-01,Theft and Related Offences,Counties/Manukau,1759,862
2019-12-01,Theft and Related Offences,Eastern,876,429
2019-12-01,Theft and Related Offences,Northland,547,280
2019-12-01,Theft and Related Offences,Southern,440,309
2019-12-01,Theft and Related Offences,Tasman,374,251
2019-12-01,Theft and Related Offences,Waikato,1329,599
2019-12-01,Theft and Related Offences,Waitemata,1454,667
2019-12-01,Theft and Related Offences,Wellington,1455,751
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,640,75
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,626,114
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,810,85
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,504,88
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,761,123
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,421,63
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,263,42
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,265,65
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,264,71
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,695,105
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,475,85
2019-12-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,517,96
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,3,3
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,4,4
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,4,4
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,2,2
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,10,10
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,1,1
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,1,1
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Tasman,2,2
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,11,10
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,3,3
2020-01-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,2,2
2020-01-01,Acts Intended to Cause Injury,Auckland City,264,230
2020-01-01,Acts Intended to Cause Injury,Bay Of Plenty,639,490
2020-01-01,Acts Intended to Cause Injury,Canterbury,377,298
2020-01-01,Acts Intended to Cause Injury,Central,587,491
2020-01-01,Acts Intended to Cause Injury,Counties/Manukau,812,676
2020-01-01,Acts Intended to Cause Injury,Eastern,483,349
2020-01-01,Acts Intended to Cause Injury,Northland,201,174
2020-01-01,Acts Intended to Cause Injury,Southern,227,201
2020-01-01,Acts Intended to Cause Injury,Tasman,175,159
2020-01-01,Acts Intended to Cause Injury,Waikato,553,446
2020-01-01,Acts Intended to Cause Injury,Waitemata,402,366
2020-01-01,Acts Intended to Cause Injury,Wellington,616,549
2020-01-01,"Robbery, Extortion and Related Offences",Auckland City,51,44
2020-01-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,30,29
2020-01-01,"Robbery, Extortion and Related Offences",Canterbury,25,19
2020-01-01,"Robbery, Extortion and Related Offences",Central,33,32
2020-01-01,"Robbery, Extortion and Related Offences",Counties/Manukau,58,52
2020-01-01,"Robbery, Extortion and Related Offences",Eastern,12,12
2020-01-01,"Robbery, Extortion and Related Offences",Northland,7,7
2020-01-01,"Robbery, Extortion and Related Offences",Southern,4,4
2020-01-01,"Robbery, Extortion and Related Offences",Tasman,4,4
2020-01-01,"Robbery, Extortion and Related Offences",Waikato,30,25
2020-01-01,"Robbery, Extortion and Related Offences",Waitemata,37,33
2020-01-01,"Robbery, Extortion and Related Offences",Wellington,20,20
2020-01-01,Sexual Assault and Related Offences,Auckland City,42,42
2020-01-01,Sexual Assault and Related Offences,Bay Of Plenty,45,41
2020-01-01,Sexual Assault and Related Offences,Canterbury,88,71
2020-01-01,Sexual Assault and Related Offences,Central,63,55
2020-01-01,Sexual Assault and Related Offences,Counties/Manukau,52,51
2020-01-01,Sexual Assault and Related Offences,Eastern,38,34
2020-01-01,Sexual Assault and Related Offences,Northland,34,31
2020-01-01,Sexual Assault and Related Offences,Southern,33,33
2020-01-01,Sexual Assault and Related Offences,Tasman,24,24
2020-01-01,Sexual Assault and Related Offences,Waikato,44,41
2020-01-01,Sexual Assault and Related Offences,Waitemata,38,36
2020-01-01,Sexual Assault and Related Offences,Wellington,39,39
2020-01-01,Theft and Related Offences,Auckland City,1800,730
2020-01-01,Theft and Related Offences,Bay Of Plenty,1700,784
2020-01-01,Theft and Related Offences,Canterbury,1943,716
2020-01-01,Theft and Related Offences,Central,1116,602
2020-01-01,Theft and Related Offences,Counties/Manukau,1872,986
2020-01-01,Theft and Related Offences,Eastern,1003,469
2020-01-01,Theft and Related Offences,Northland,703,382
2020-01-01,Theft and Related Offences,Southern,402,295
2020-01-01,Theft and Related Offences,Tasman,438,272
2020-01-01,Theft and Related Offences,Waikato,1428,667
2020-01-01,Theft and Related Offences,Waitemata,1528,692
2020-01-01,Theft and Related Offences,Wellington,1418,742
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,669,90
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,589,110
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,874,103
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,580,98
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,806,114
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,458,64
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,380,56
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,299,69
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,252,60
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,797,103
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,533,80
2020-01-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,532,106
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,3,3
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,4,4
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,4,3
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,4,4
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,7,7
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,7,7
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,1,1
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,8,7
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,3,3
2020-02-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,4,4
2020-02-01,Acts Intended to Cause Injury,Auckland City,294,260
2020-02-01,Acts Intended to Cause Injury,Bay Of Plenty,539,434
2020-02-01,Acts Intended to Cause Injury,Canterbury,403,299
2020-02-01,Acts Intended to Cause Injury,Central,520,447
2020-02-01,Acts Intended to Cause Injury,Counties/Manukau,810,679
2020-02-01,Acts Intended to Cause Injury,Eastern,493,382
2020-02-01,Acts Intended to Cause Injury,Northland,205,171
2020-02-01,Acts Intended to Cause Injury,Southern,286,235
2020-02-01,Acts Intended to Cause Injury,Tasman,165,149
2020-02-01,Acts Intended to Cause Injury,Waikato,529,454
2020-02-01,Acts Intended to Cause Injury,Waitemata,407,350
2020-02-01,Acts Intended to Cause Injury,Wellington,573,511
2020-02-01,"Robbery, Extortion and Related Offences",Auckland City,43,40
2020-02-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,24,20
2020-02-01,"Robbery, Extortion and Related Offences",Canterbury,23,18
2020-02-01,"Robbery, Extortion and Related Offences",Central,20,18
2020-02-01,"Robbery, Extortion and Related Offences",Counties/Manukau,38,36
2020-02-01,"Robbery, Extortion and Related Offences",Eastern,11,11
2020-02-01,"Robbery, Extortion and Related Offences",Northland,15,13
2020-02-01,"Robbery, Extortion and Related Offences",Southern,13,12
2020-02-01,"Robbery, Extortion and Related Offences",Tasman,3,3
2020-02-01,"Robbery, Extortion and Related Offences",Waikato,28,27
2020-02-01,"Robbery, Extortion and Related Offences",Waitemata,36,34
2020-02-01,"Robbery, Extortion and Related Offences",Wellington,22,20
2020-02-01,Sexual Assault and Related Offences,Auckland City,55,52
2020-02-01,Sexual Assault and Related Offences,Bay Of Plenty,55,48
2020-02-01,Sexual Assault and Related Offences,Canterbury,92,66
2020-02-01,Sexual Assault and Related Offences,Central,51,48
2020-02-01,Sexual Assault and Related Offences,Counties/Manukau,72,70
2020-02-01,Sexual Assault and Related Offences,Eastern,27,27
2020-02-01,Sexual Assault and Related Offences,Northland,25,22
2020-02-01,Sexual Assault and Related Offences,Southern,37,36
2020-02-01,Sexual Assault and Related Offences,Tasman,24,24
2020-02-01,Sexual Assault and Related Offences,Waikato,45,42
2020-02-01,Sexual Assault and Related Offences,Waitemata,40,38
2020-02-01,Sexual Assault and Related Offences,Wellington,53,53
2020-02-01,Theft and Related Offences,Auckland City,1824,784
2020-02-01,Theft and Related Offences,Bay Of Plenty,1634,745
2020-02-01,Theft and Related Offences,Canterbury,1927,680
2020-02-01,Theft and Related Offences,Central,1131,597
2020-02-01,Theft and Related Offences,Counties/Manukau,1757,885
2020-02-01,Theft and Related Offences,Eastern,869,391
2020-02-01,Theft and Related Offences,Northland,653,317
2020-02-01,Theft and Related Offences,Southern,400,289
2020-02-01,Theft and Related Offences,Tasman,419,263
2020-02-01,Theft and Related Offences,Waikato,1366,614
2020-02-01,Theft and Related Offences,Waitemata,1501,683
2020-02-01,Theft and Related Offences,Wellington,1488,730
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,644,80
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,584,114
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,850,88
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,544,99
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,760,104
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,382,59
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,372,54
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,231,60
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,193,52
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,615,98
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,460,77
2020-02-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,512,89
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,5,5
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,2,2
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,3,3
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,1,1
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,4,4
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,2,2
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,6,5
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Tasman,2,2
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,8,8
2020-03-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,3,3
2020-03-01,Acts Intended to Cause Injury,Auckland City,299,282
2020-03-01,Acts Intended to Cause Injury,Bay Of Plenty,529,435
2020-03-01,Acts Intended to Cause Injury,Canterbury,410,310
2020-03-01,Acts Intended to Cause Injury,Central,530,452
2020-03-01,Acts Intended to Cause Injury,Counties/Manukau,902,744
2020-03-01,Acts Intended to Cause Injury,Eastern,450,329
2020-03-01,Acts Intended to Cause Injury,Northland,225,200
2020-03-01,Acts Intended to Cause Injury,Southern,214,180
2020-03-01,Acts Intended to Cause Injury,Tasman,167,147
2020-03-01,Acts Intended to Cause Injury,Waikato,516,432
2020-03-01,Acts Intended to Cause Injury,Waitemata,429,378
2020-03-01,Acts Intended to Cause Injury,Wellington,647,567
2020-03-01,"Robbery, Extortion and Related Offences",Auckland City,41,37
2020-03-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,26,25
2020-03-01,"Robbery, Extortion and Related Offences",Canterbury,35,26
2020-03-01,"Robbery, Extortion and Related Offences",Central,22,20
2020-03-01,"Robbery, Extortion and Related Offences",Counties/Manukau,49,48
2020-03-01,"Robbery, Extortion and Related Offences",Eastern,16,16
2020-03-01,"Robbery, Extortion and Related Offences",Northland,10,9
2020-03-01,"Robbery, Extortion and Related Offences",Southern,7,7
2020-03-01,"Robbery, Extortion and Related Offences",Tasman,7,6
2020-03-01,"Robbery, Extortion and Related Offences",Waikato,44,41
2020-03-01,"Robbery, Extortion and Related Offences",Waitemata,30,27
2020-03-01,"Robbery, Extortion and Related Offences",Wellington,38,36
2020-03-01,Sexual Assault and Related Offences,Auckland City,43,42
2020-03-01,Sexual Assault and Related Offences,Bay Of Plenty,41,39
2020-03-01,Sexual Assault and Related Offences,Canterbury,65,54
2020-03-01,Sexual Assault and Related Offences,Central,42,36
2020-03-01,Sexual Assault and Related Offences,Counties/Manukau,70,68
2020-03-01,Sexual Assault and Related Offences,Eastern,30,26
2020-03-01,Sexual Assault and Related Offences,Northland,22,20
2020-03-01,Sexual Assault and Related Offences,Southern,45,36
2020-03-01,Sexual Assault and Related Offences,Tasman,23,20
2020-03-01,Sexual Assault and Related Offences,Waikato,53,46
2020-03-01,Sexual Assault and Related Offences,Waitemata,47,44
2020-03-01,Sexual Assault and Related Offences,Wellington,47,42
2020-03-01,Theft and Related Offences,Auckland City,1524,688
2020-03-01,Theft and Related Offences,Bay Of Plenty,1299,626
2020-03-01,Theft and Related Offences,Canterbury,1854,648
2020-03-01,Theft and Related Offences,Central,971,523
2020-03-01,Theft and Related Offences,Counties/Manukau,1623,839
2020-03-01,Theft and Related Offences,Eastern,699,347
2020-03-01,Theft and Related Offences,Northland,530,265
2020-03-01,Theft and Related Offences,Southern,401,310
2020-03-01,Theft and Related Offences,Tasman,327,211
2020-03-01,Theft and Related Offences,Waikato,1156,558
2020-03-01,Theft and Related Offences,Waitemata,1266,577
2020-03-01,Theft and Related Offences,Wellington,1277,653
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,611,83
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,512,112
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,778,77
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,508,94
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,728,106
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,403,70
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,350,54
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,243,65
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,174,45
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,562,96
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,435,73
2020-03-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,519,103
2020-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,3,3
2020-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,5,5
2020-04-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,1,1
